del,id,tweet,subtask_a,subtask_b,subtask_c,cleaned_tweet
1020,97846,@USER @USER All great American Patriots are the dregs of society in the warped and delusional perspective of Joe Blow Biden. He is a disgrace to America.,OFF,TIN,IND,great american patriots dregs society warped delusional perspective joe blow biden disgrace america
1021,74245,@USER What a joke.  Another dirty tricks Democrat on the George Soros payroll.  The Democrat Party knows no shame.  #MAGA,OFF,TIN,GRP,joke another dirty tricks democrat george soros payroll democrat party knows shame
1022,62559,@USER she is 😩,NOT,,,
1023,30353,@USER You are very welcome Gordon and Shirley 🥀🐍🌹🐍🥀🐍🌹xxx,NOT,,,welcome gordon shirley xxx
1024,31126,@USER Clearly as long as she is safe no one else matters lol 😂😂😂,NOT,,,clearly long safe one else matters lol
1025,92619,@USER Always looking for faults and forgetting to look at the whole picture.  Journalism (objective reporting) is dead as now everyone is a pundit (subjective expert).,NOT,,,always looking faults forgetting look whole picture journalism objective reporting dead everyone pundit subjective expert
1026,16278,@USER what the actual fuck..ill report them this is so fucked up,OFF,TIN,IND,actual fuck ill report fucked
1027,16251,@USER He should leak that shit anyways lol,OFF,TIN,IND,leak shit anyways lol
1028,64189,-____-  No other 1st world country has bullshit like this because they don't have BULLSHIT problems like this  Fuck the gun industry and fuck the dipshits enabling them preventing sensible gun control  URL,OFF,TIN,GRP,1st world country bullshit like bullshit problems like fuck gun industry fuck dipshits enabling preventing sensible gun control url
1029,10755,@USER You are right Joe. I can do an interview with Fox when I get back from Iowa.,NOT,,,right joe interview fox get back iowa
1030,68461,@USER @USER Itne me too liberals ko BURNOL khana padega....,NOT,,,itne liberals burnol khana padega
1031,27318,@USER @USER We need gun control! Lol,NOT,,,need gun control lol
1032,78407,@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER Following #maga,NOT,,,following
1033,33186,@USER She is absolutely adorable what a good mommy you take good care of her.💞,NOT,,,absolutely adorable good mommy take good care
1034,61788,"@USER @USER @USER @USER Yes, you are right: not only lefties but (neo) liberals having any trouble. This papers have proper journalistic ethics"" - it's funny 😆😆😆; and  Magyar Nemzet or Népszabadság had ""highest circulation"" - it's also funny /only in the communistic past (before 1989)/ 😆😆😆! URL",OFF,TIN,GRP,yes right lefties neo liberals trouble papers proper journalistic ethics funny magyar nemzet népszabadság highest circulation also funny communistic past 1989 url
1035,71811,@USER @USER Tip. He is no franchise QB.,NOT,,,tip franchise
1036,95262,@USER Great Gun Control! Takes Concentration and Steady Hand! Way to Go Girl! URL,OFF,TIN,IND,great gun control takes concentration steady hand way girl url
1037,80439,@USER Disgusting!  That tells you more than anything that we need law n order and that's conservatives n Kavanaugh!,OFF,UNT,,disgusting tells anything need law order conservatives kavanaugh
1038,83465,@USER @USER So... what did The Big O accomplish on gun control in his 8 year disaster??,NOT,,,big accomplish gun control year disaster
1039,80298,@USER @USER Anyone besides me think he is angling for Sessions job saw today statement made only sitting Senator would be approved as replacement otherwise Senators wouldn't stab Session in back well not sure how it makes a difference but LG may be angling then send Mueller packing,NOT,,,anyone besides think angling sessions job saw today statement made sitting senator would approved replacement otherwise senators stab session back well sure makes difference may angling send mueller packing
1040,70706,"@USER  Aurora is growing and learning stuff quickly! She is really good at drawing and counting! Such a intelligent baby ~ ""  He laughts playfully at kiss being breaked. Pecks his nose.""",NOT,,,aurora growing learning stuff quickly really good drawing counting intelligent baby laughts playfully kiss breaked pecks nose
1041,73146,@USER He is so underrated and I love how pure he is as a person,NOT,,,underrated love pure person
1042,13613,@USER @USER Or he raised a hand. SMH,NOT,,,raised hand smh
1043,89043,-You would never guess that this employee plays Covet (a fashion game) on her iPad in her free time. 📱 -She has a strange phobia of dogs.🐕 -She is amazingly weird! She can jump over her foot while it is in... URL,OFF,TIN,IND,would never guess employee plays covet fashion game ipad free time strange phobia dogs amazingly weird jump foot url
1044,13324,@USER Go back to Canada you freak.,OFF,TIN,IND,back canada freak
1045,25808,@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER yep bc not agreeing with forcing adult memes and choices on individuals not developed enough to comprehend them means I am homophobic,OFF,TIN,GRP,yep agreeing forcing adult memes choices individuals developed enough comprehend means homophobic
1046,74843,Americans are smarter than you think.  #MAGA  #VoteRed2018 #RedWaveRising2018 #SaveOurCountry #VoteDemsOut URL,NOT,,,americans smarter think url
1047,80698,@USER He just doesn’t fit the team now. Agholor should stay in the slot because that’s where he is successful. JMatt is not an outside threat.,OFF,TIN,IND,fit team agholor stay slot successful jmatt outside threat
1048,32103,@USER Nike lost $3.75 billion after kaepernick was named face of “just do it” bullshit.,OFF,TIN,OTH,nike lost billion kaepernick named face bullshit
1049,34685,.@USER has proved to us a second time she is undeniably a force to be reckoned with in the industry with the release of #LOTWVideo. Check it out here; URL,NOT,,,proved second time undeniably force reckoned industry release check url
1050,82977,@USER @USER I stand corrected! Guess the only memorable thing about her to me is how hateful she is lmfao.,NOT,,,stand corrected guess memorable thing hateful lmfao
1051,52798,@USER Google go to hell!,OFF,TIN,OTH,google hell
1052,89052,@USER @USER @USER Its her job to do that he is not her pr guy.,NOT,,,job guy
1053,98649,@USER She is better than everyone at everything because she is a literal angel who can do no wrong,NOT,,,better everyone everything literal angel wrong
1054,40000,@USER Unless you live in Sweden the Gang Rape capital of the world. Where 1 million migrants were welcomed with open arms. Not vetted thanks to the liberals in power .,NOT,,,unless live sweden gang rape capital world million migrants welcomed open arms vetted thanks liberals power
1055,96330,@USER @USER then you are not equipped to adopt. period,NOT,,,equipped adopt period
1056,14809,"@USER woman accusing Supreme Court nominee #Kavanaugh of physical and sexual assault should not be ignored or insulted,WhiteHouse senior counselor @USER says:BECAUSE A RAPIST &amp;ATEMPTED MURDERER Can’t GO FREE Because He Was 17yrs ,DRUNK &amp; WANTED IT❗️#tcot #pjnet #maga URL",NOT,,,woman accusing supreme court nominee physical sexual assault ignored insulted whitehouse senior counselor says rapist atempted murderer free 17yrs drunk wanted ❗ ️ url
1057,21629,@USER @USER @USER Chicago has been ran by Democrats for decades.  Why is it up to the GOP to solve the problems they created to begin with?  Act is absolutely code for gun control and that's not happening nor would it help anyway.  You need 1000 detectives.  Start hiring.,OFF,UNT,,chicago ran democrats decades gop solve problems created begin act absolutely code gun control happening would help anyway need 1000 detectives start hiring
1058,52832,I think Judge Kavanaugh will be voted through next week after Mondays hearing unfortunately for him his reputation has tarnished by these vicious lies MAGA WWGIWGA URL,NOT,,,think judge kavanaugh voted next week mondays hearing unfortunately reputation tarnished vicious lies maga wwgiwga url
1059,59620,@USER @USER You are welcome Casey.,NOT,,,welcome casey
1060,32717,"@USER If only he were the craziest MF out there. Sadly, he is NOT. There are far worse examples of good Christians.""""",OFF,TIN,IND,craziest sadly far worse examples good christians
1061,21286,@USER So innocent until PROVEN guilty only applies to liberals?????,NOT,,,innocent proven guilty applies liberals
1062,78117,@USER @USER @USER I am in an interracial marriage you liberals throw that word around so easily you might want to look it up and see what it means URL,NOT,,,interracial marriage liberals throw word around easily might want look see means url
1063,13486,@USER @USER @USER What was the average wage to average house price when Thatcher was in charge? That ratio is the fundamental reason. Build as many as you like but if they are not genuinely affordable you're just wasting resources.,NOT,,,average wage average house price thatcher charge ratio fundamental reason build many like genuinely affordable wasting resources
1064,90268,@USER Bruh ita gonna be ok  You will have to go it without your parents being there 24/7 which can be hella scary. But you are more ready than you think.  Its gonna be more fun than you could bet,NOT,,,bruh ita gonna without parents hella scary ready think gonna fun could bet
1065,39342,@USER LMFAOOO baby you just as young as she is😭😭😭,NOT,,,lmfaooo baby young
1066,81788,@USER It’s fine. The liberals made sure that we use as much carbon as possible to make electricity.,NOT,,,fine liberals made sure use much carbon possible make electricity
